schema,prov_code,dpto5,departamento,raw_repos,geo_repos,raw_devs,geo_devs,raw_langs,diff_repos,diff_devs,pct_diff_repos
caba_github2026,02,02000,CABA General,15988,15988,1290,1290,105,0,0,0.0
caba_github2026,02,02007,Comuna 1,32,32,4,4,9,0,0,0.0
caba_github2026,02,02014,Comuna 2,23,23,3,3,4,0,0,0.0
caba_github2026,02,02021,Comuna 3,35,35,4,4,11,0,0,0.0
caba_github2026,02,02028,Comuna 4,69,69,4,4,9,0,0,0.0
caba_github2026,02,02035,Comuna 5,103,103,5,5,17,0,0,0.0
caba_github2026,02,02042,Comuna 6,109,109,6,6,9,0,0,0.0
caba_github2026,02,02049,Comuna 7,88,88,5,5,9,0,0,0.0
caba_github2026,02,02056,Comuna 8,43,43,2,2,8,0,0,0.0
caba_github2026,02,02063,Comuna 9,82,82,2,2,8,0,0,0.0
caba_github2026,02,02070,Comuna 10,30,30,3,3,9,0,0,0.0
caba_github2026,02,02077,Comuna 11,42,42,5,5,8,0,0,0.0
caba_github2026,02,02084,Comuna 12,69,69,6,6,9,0,0,0.0
caba_github2026,02,02091,Comuna 13,44,44,5,5,6,0,0,0.0
caba_github2026,02,02098,Comuna 14,123,123,8,8,16,0,0,0.0
caba_github2026,02,02105,Comuna 15,85,85,7,7,10,0,0,0.0
buenos_aires_github2026,06,06007,Adolfo Alsina,7,7,1,1,2,0,0,0.0
buenos_aires_github2026,06,06014,Adolfo Gonzales Chaves,9,9,4,4,3,0,0,0.0
buenos_aires_github2026,06,06021,Alberti,46,46,4,4,8,0,0,0.0
buenos_aires_github2026,06,06028,Almirante Brown,649,649,65,65,28,0,0,0.0
buenos_aires_github2026,06,06035,Avellaneda,2001,2001,201,201,47,0,0,0.0
buenos_aires_github2026,06,06042,Ayacucho,3,3,2,2,1,0,0,0.0
buenos_aires_github2026,06,06049,Azul,356,356,40,40,19,0,0,0.0
buenos_aires_github2026,06,06056,Bahia Blanca,3273,3273,355,355,64,0,0,0.0
buenos_aires_github2026,06,06063,Balcarce,140,140,18,18,16,0,0,0.0
buenos_aires_github2026,06,06070,Baradero,270,270,29,29,15,0,0,0.0
buenos_aires_github2026,06,06077,Arrecifes,62,62,7,7,7,0,0,0.0
buenos_aires_github2026,06,06084,Benito Juarez,55,55,2,2,4,0,0,0.0
buenos_aires_github2026,06,06091,Berazategui,843,843,110,110,31,0,0,0.0
buenos_aires_github2026,06,06098,Berisso,169,169,22,22,19,0,0,0.0
buenos_aires_github2026,06,06105,Bolivar,157,157,13,13,12,0,0,0.0
buenos_aires_github2026,06,06112,Bragado,94,94,7,7,6,0,0,0.0
buenos_aires_github2026,06,06119,Brandsen,63,63,5,5,10,0,0,0.0
buenos_aires_github2026,06,06126,Campana,495,495,55,55,31,0,0,0.0
buenos_aires_github2026,06,06134,Canuelas,0,0,0,0,0,0,0,0.0
buenos_aires_github2026,06,06140,Capitan Sarmiento,0,0,0,0,0,0,0,0.0
buenos_aires_github2026,06,06147,Carlos Casares,118,118,8,8,17,0,0,0.0
buenos_aires_github2026,06,06154,Carlos Tejedor,1,1,1,1,1,0,0,0.0
buenos_aires_github2026,06,06161,Carmen de Areco,72,72,3,3,12,0,0,0.0
buenos_aires_github2026,06,06168,Castelli,0,0,0,0,0,0,0,0.0
buenos_aires_github2026,06,06175,Colon,25,25,5,5,7,0,0,0.0
buenos_aires_github2026,06,06182,Coronel Rosales,276,276,37,37,16,0,0,0.0
buenos_aires_github2026,06,06189,Coronel Dorrego,36,36,5,5,5,0,0,0.0
buenos_aires_github2026,06,06196,Coronel Pringles,19,19,2,2,9,0,0,0.0
buenos_aires_github2026,06,06203,Coronel Suarez,103,103,9,9,9,0,0,0.0
buenos_aires_github2026,06,06210,Chacabuco,44,44,11,11,10,0,0,0.0
buenos_aires_github2026,06,06218,Chascomus,12,12,7,7,6,0,0,0.0
buenos_aires_github2026,06,06224,Chivilcoy,344,344,46,46,18,0,0,0.0
buenos_aires_github2026,06,06231,Daireaux,30,30,3,3,5,0,0,0.0
buenos_aires_github2026,06,06238,Dolores,73,73,11,11,8,0,0,0.0
buenos_aires_github2026,06,06245,Ensenada,141,141,12,12,15,0,0,0.0
buenos_aires_github2026,06,06252,Escobar,324,324,30,30,20,0,0,0.0
buenos_aires_github2026,06,06260,Esteban Echeverria,598,598,41,41,21,0,0,0.0
buenos_aires_github2026,06,06266,Exaltacion de la Cruz,0,0,0,0,0,0,0,0.0
buenos_aires_github2026,06,06270,Ezeiza,183,183,17,17,16,0,0,0.0
buenos_aires_github2026,06,06274,Florencio Varela,542,542,64,64,28,0,0,0.0
buenos_aires_github2026,06,06277,Florentino Ameghino,26,26,2,2,5,0,0,0.0
buenos_aires_github2026,06,06280,General Alvarado,203,203,17,17,14,0,0,0.0
