prov_code,schema,n_depts,total_raw_repos,total_geo_repos,total_raw_devs,total_geo_devs,n_discrepancies,max_pct_diff,repos_match
02,caba_github2026,16,16965,16965,1359,1359,0,0.0,EXACT
06,buenos_aires_github2026,135,85009,85009,7997,8033,0,0.0,EXACT
10,catamarca_github2026,16,2078,2078,181,181,0,0.0,EXACT
14,cordoba_github2026,26,64781,64771,3679,3983,10,100.0,DIFFERS
18,corrientes_github2026,25,7820,8229,807,876,10,100.0,DIFFERS
22,chaco_github2026,25,5807,5807,575,575,0,0.0,EXACT
26,chubut_github2026,15,3440,3440,338,338,0,0.0,EXACT
30,entre_rios_github2026,17,8188,8225,828,831,1,16.2,DIFFERS
34,formosa_github2026,9,5068,5290,335,347,3,100.0,DIFFERS
38,jujuy_github2026,16,6404,6404,467,467,0,0.0,EXACT
42,la_pampa_github2026,22,0,0,2,2,0,0.0,EXACT
46,la_rioja_github2026,18,20,20,5,5,0,0.0,EXACT
50,mendoza_github2026,18,19632,19632,999,999,0,0.0,EXACT
54,misiones_github2026,17,7166,7166,684,684,0,0.0,EXACT
58,neuquen_github2026,16,2454,2454,265,265,0,0.0,EXACT
62,rio_negro_github2026,13,4350,4350,448,448,0,0.0,EXACT
66,salta_github2026,23,8329,8329,818,818,0,0.0,EXACT
70,san_juan_github2026,19,130,130,15,15,0,0.0,EXACT
74,san_luis_github2026,9,1567,1567,188,188,0,0.0,EXACT
78,santa_cruz_github2026,7,12,12,2,2,0,0.0,EXACT
82,santa_fe_github2026,19,44254,55208,3003,3636,8,100.0,DIFFERS
86,santiago_github2026,27,68,68,2,2,0,0.0,EXACT
90,tucuman_github2026,17,7910,7910,650,650,0,0.0,EXACT
94,tierra_del_fuego_github2026,3,2136,2136,200,200,0,0.0,EXACT
