rank_old,dpto5,departamento,provincia,eci_software_old,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,eci_software_new,rank_new,rank_change
1,26007,Biedma,Chubut,2.089493209621115,14,30.428571428571427,59.0,686.0,102806.0,2.1112704546167733,1,0
2,82063,La Capital,Santa Fe,2.0766637372949037,38,25.657894736842103,1330.0,24818.0,568259.0,2.108985958362051,2,0
3,14014,Capital,Córdoba,2.0614123051247333,47,25.48936170212766,2411.0,50004.0,1498060.0,2.078994197060505,3,0
4,62021,Bariloche,Río Negro,1.977571664389972,34,28.823529411764707,344.0,3093.0,161443.0,2.002863788721023,4,0
5,06441,La Plata,Buenos Aires,1.9067232371246423,37,28.37837837837838,1677.0,18483.0,756074.0,1.9344823708873045,5,0
6,94015,Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1.9017917239935156,24,30.541666666666668,200.0,2136.0,86036.0,1.9256302964825804,6,0
7,82084,Rosario,Santa Fe,1.7669892411636792,43,27.162790697674417,1756.0,25257.0,1337958.0,1.784252080740993,7,0
8,50007,Capital,Mendoza,1.745041153279558,35,31.057142857142857,836.0,16642.0,123715.0,1.776075460658003,8,0
9,62042,General Roca,Río Negro,1.734909336594068,26,35.53846153846154,104.0,1257.0,379627.0,1.7362444926760237,9,0
10,06602,Patagones,Buenos Aires,1.666383806037362,23,36.60869565217392,74.0,756.0,37499.0,1.6599995984568583,10,0
11,30084,Paraná,Entre Ríos,1.6262089813276277,26,32.96153846153846,338.0,3746.0,388716.0,1.6479622639974592,11,0
12,06791,Tandil,Buenos Aires,1.6123791346178862,30,33.233333333333334,861.0,8566.0,144678.0,1.6334568394744358,13,-1
13,30098,Uruguay,Entre Ríos,1.5997161112349856,22,33.86363636363637,135.0,1519.0,115516.0,1.6350387238972677,12,1
15,14098,Río Cuarto,Córdoba,1.500539495007109,31,33.74193548387097,395.0,3608.0,277979.0,1.5112811745994637,15,0
16,06056,Bahía Blanca,Buenos Aires,1.4996938974334757,26,31.26923076923077,355.0,3273.0,334505.0,1.5229483825568555,14,2
17,06658,Quilmes,Buenos Aires,1.473534759855814,26,33.26923076923077,228.0,2863.0,631774.0,1.506450348022411,16,1
18,06623,Pergamino,Buenos Aires,1.4506904825504483,24,42.29166666666666,122.0,1089.0,114988.0,1.4545233558559194,17,1
19,74056,Juan Martín de Pueyrredón,San Luis,1.3952370131812106,25,35.56,185.0,1553.0,260769.0,1.4109446340297944,18,1
20,18007,Bella Vista,Corrientes,1.3872073672593697,11,37.54545454545455,14.0,184.0,44369.0,1.3889186203465198,20,0
21,30015,Concordia,Entre Ríos,1.3872012319132512,29,35.58620689655172,185.0,1515.0,197603.0,1.399922858441183,19,2
22,22140,San Fernando,Chaco,1.3364876735402158,21,42.57142857142857,512.0,5202.0,413764.0,1.3393169087638723,21,1
23,50105,San Rafael,Mendoza,1.3227539940582316,22,43.95454545454545,118.0,2035.0,213204.0,1.3344163886299305,22,1
24,14091,Punilla,Córdoba,1.2531373805549233,26,40.19230769230769,172.0,1983.0,219494.0,1.2679517953664858,24,0
25,82014,Caseros,Santa Fe,1.232304872780093,12,42.75,28.0,358.0,86261.0,1.2340855319310595,25,0
26,06861,Vicente López,Buenos Aires,1.2257276763885427,18,43.94444444444444,126.0,1181.0,280541.0,1.302615490212529,23,3
