dpto5,ASP,ASP.NET,Arduino,Assembly,Astro,Batchfile,Blade,C,C#,C++,CMake,CSS,Clojure,CoffeeScript,Common Lisp,Dart,Dockerfile,EJS,Elixir,Emacs Lisp,Erlang,Fortran,GDScript,Go,Groovy,HCL,HTML,Hack,Handlebars,Haskell,Java,JavaScript,Jinja,Julia,Jupyter Notebook,Kotlin,Liquid,Lua,MATLAB,MDX,Makefile,Mathematica,Matlab,Nix,Objective-C,OpenSCAD,PHP,PLpgSQL,Papyrus,Pascal,Perl,PowerShell,Processing,Prolog,Pug,Puppet,Python,R,Racket,Rich Text Format,Roff,Ruby,Rust,SCSS,Scala,ShaderLab,Shell,Smalltalk,Smarty,Solidity,SourcePawn,Svelte,Swift,SystemVerilog,TSQL,TeX,TypeScript,VBA,VHDL,Verilog,Vim Script,Vim script,VimL,Visual Basic,Visual Basic .NET,Vue,Wollok
02000,3,6,10,21,48,10,8,308,511,300,5,738,9,5,0,24,22,28,3,3,0,2,5,132,5,10,1874,3,13,27,968,3924,0,0,318,81,8,23,8,1,7,1,3,2,16,0,302,8,7,0,4,7,12,24,2,0,1006,27,0,1,2,88,31,82,10,38,115,6,1,16,0,8,41,0,15,15,1260,1,3,1,0,4,2,0,8,109,19
06021,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
06028,0,0,0,0,0,0,1,42,36,22,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,76,0,1,2,33,90,0,0,4,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,1,0,52,0,0,0,0,3,1,1,0,0,5,0,0,2,0,0,0,0,0,0,55,0,0,0,0,0,0,0,12,2,2
06035,0,0,0,2,0,1,2,75,64,38,0,101,2,0,0,3,6,0,0,0,0,0,1,22,0,1,225,2,0,1,136,303,0,0,11,33,0,0,0,1,2,0,0,0,0,0,92,3,0,3,0,3,17,0,0,0,118,3,0,0,0,5,4,4,0,1,8,0,0,0,0,0,0,0,2,3,160,0,0,0,1,0,0,0,0,6,0
06049,0,0,0,0,1,0,1,0,4,17,0,13,0,0,0,2,1,0,0,0,0,0,0,9,0,0,18,0,0,0,22,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
06056,5,0,0,1,10,0,1,61,57,40,0,140,0,0,0,15,5,2,2,1,2,1,4,17,0,0,309,0,2,0,268,711,0,0,39,21,1,1,2,0,4,1,0,0,1,0,76,1,5,6,4,2,0,6,0,5,222,2,0,0,0,17,17,13,8,6,17,0,0,9,0,6,8,0,2,2,362,0,1,0,0,0,0,0,2,8,0
06063,0,0,0,0,0,0,0,1,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,4,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0
06070,0,0,0,0,1,0,0,0,1,1,0,8,0,0,0,0,1,0,0,0,0,0,0,2,0,0,22,0,0,0,20,58,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
06077,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
