dpto5,year,eci_software,n_languages,n_repos,avg_ubiquity
02000,2015,1.1218718012884108,10,247.0,15.7
06028,2015,-0.19805720633882234,5,20.0,23.4
06035,2015,-0.655832814587985,4,24.0,25.0
06056,2015,-0.038116711682892476,7,50.0,18.142857142857142
06126,2015,-1.335961830333437,3,32.0,27.666666666666668
06357,2015,0.4539817193245985,7,518.0,19.285714285714285
06413,2015,-0.9247148535505851,3,12.0,22.0
06427,2015,0.7995556487268043,5,21.0,19.2
06441,2015,2.6815798245468963,6,847.0,13.166666666666666
06497,2015,-0.6931187798153962,6,19.0,21.0
06539,2015,3.0430135826146345,4,27.0,10.25
06568,2015,0.5921589465497205,5,14.0,20.2
06581,2015,1.4175915712441396,6,32.0,16.666666666666668
06602,2015,-1.37858964561944,5,59.0,20.8
06623,2015,-0.04834902203410061,6,44.0,19.166666666666668
06644,2015,-1.1203387544565477,4,10.0,18.5
06658,2015,0.5806229953099756,11,50.0,16.09090909090909
06756,2015,-0.39492887346838057,4,42.0,22.5
06760,2015,0.07313405995123566,5,37.0,21.0
06763,2015,0.23736037103166735,3,33.0,19.666666666666668
06791,2015,0.5993544625087048,8,504.0,18.25
06861,2015,-1.0197029342508772,4,16.0,25.75
10049,2015,-0.6329829893514214,4,43.0,24.25
14014,2015,0.04447394711584782,6,2233.0,15.666666666666666
14021,2015,-1.4928580254427177,4,52.0,25.5
14042,2015,-0.8356928306107062,6,18.0,21.666666666666668
14091,2015,0.016674107882841765,4,18.0,17.5
14098,2015,1.8981439561053735,6,141.0,13.666666666666666
14147,2015,-1.4928580254427177,4,13.0,25.5
14161,2015,1.8364273976715646,5,35.0,14.2
18007,2015,0.6347373374311998,5,12.0,20.2
18021,2015,-0.33376989479778274,7,169.0,22.0
22140,2015,-0.7598390010873397,6,241.0,22.5
26007,2015,-0.36221944750450974,7,37.0,19.714285714285715
26077,2015,-0.3742647426890061,5,81.0,19.8
30008,2015,0.3599754144031593,5,17.0,19.2
30015,2015,-0.4950109236875881,4,61.0,18.25
30084,2015,-0.618004628808458,8,103.0,17.75
30098,2015,-0.15602898645282975,8,18.0,17.5
34014,2015,0.5124774540904502,4,17.0,19.5
38021,2015,0.5839250829689717,7,111.0,17.571428571428573
50007,2015,0.6015092535616621,12,578.0,13.583333333333334
50105,2015,-1.142155470960719,5,59.0,23.2
54028,2015,-0.5086026079070317,7,136.0,20.714285714285715
54077,2015,-1.42032263027394,3,20.0,24.333333333333332
58035,2015,0.2986691234176642,5,103.0,17.8
62021,2015,1.5578116202359045,8,180.0,14.25
62042,2015,-0.4439414306766916,5,112.0,16.4
66028,2015,-0.9733211301393249,5,188.0,22.8
74056,2015,-1.2707365842215808,5,60.0,19.6
82021,2015,-0.05641750020739879,6,92.0,13.333333333333334
82063,2015,0.8891917208086821,10,1896.0,15.0
82084,2015,0.2798565176402437,11,736.0,16.545454545454547
90084,2015,0.09859842629820963,9,292.0,16.333333333333332
94015,2015,-0.03595806632833701,9,141.0,16.555555555555557
02000,2016,0.9143057798528726,18,467.0,16.166666666666668
06028,2016,0.4463506664301416,7,25.0,26.0
06035,2016,-1.0294861848438464,4,49.0,29.75
06056,2016,0.09781090824025414,9,75.0,19.555555555555557
06070,2016,-0.9277751044394218,3,10.0,22.666666666666668
06091,2016,-1.2715881040710868,5,21.0,26.8
06126,2016,-0.38130504839305335,5,52.0,27.6
06274,2016,0.5151389557468586,4,12.0,30.75
06357,2016,0.22152537054674626,9,759.0,20.88888888888889
06371,2016,-1.7402605462975198,3,24.0,33.0
06408,2016,-0.33499083488367604,3,10.0,30.0
06413,2016,-1.0880718695179767,3,12.0,28.333333333333332
06427,2016,1.4398339966842466,7,42.0,23.571428571428573
06434,2016,-0.8965118031788236,3,10.0,31.666666666666668
06441,2016,1.3035868414668799,9,1226.0,15.88888888888889
06490,2016,-0.21270347305177603,4,12.0,25.0
06497,2016,-0.5270505817449255,4,22.0,22.0
06539,2016,2.6254840944049973,5,53.0,19.2
06568,2016,0.6071732731100586,5,17.0,26.6
