dpto5,departamento,provincia,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,rank
26007,Biedma,Chubut,2.1112704546167733,14,30.214285714285715,59.0,686.0,102806.0,1
82063,La Capital,Santa Fe,2.108985958362051,38,25.57894736842105,1330.0,24818.0,568259.0,2
14014,Capital,Córdoba,2.0789941970605055,47,25.425531914893618,2411.0,50004.0,1498060.0,3
62021,Bariloche,Río Negro,2.002863788721023,34,28.764705882352942,344.0,3093.0,161443.0,4
06441,La Plata,Buenos Aires,1.9344823708873045,37,28.37837837837838,1677.0,18483.0,756074.0,5
94015,Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1.9256302964825804,24,30.333333333333332,200.0,2136.0,86036.0,6
82084,Rosario,Santa Fe,1.784252080740993,43,27.11627906976744,1756.0,25257.0,1337958.0,7
50007,Capital,Mendoza,1.776075460658003,35,31.02857142857143,836.0,16642.0,123715.0,8
62042,General Roca,Río Negro,1.7362444926760237,26,35.34615384615385,104.0,1257.0,379627.0,9
06602,Patagones,Buenos Aires,1.6599995984568585,23,36.43478260869565,74.0,756.0,37499.0,10
30084,Paraná,Entre Ríos,1.6479622639974592,26,32.84615384615385,338.0,3746.0,388716.0,11
30098,Uruguay,Entre Ríos,1.6350387238972675,22,33.72727272727273,135.0,1519.0,115516.0,12
06791,Tandil,Buenos Aires,1.6334568394744358,30,33.13333333333333,861.0,8566.0,144678.0,13
06056,Bahía Blanca,Buenos Aires,1.5229483825568555,26,31.307692307692307,355.0,3273.0,334505.0,14
14098,Río Cuarto,Córdoba,1.5112811745994637,31,33.74193548387097,395.0,3608.0,277979.0,15
06658,Quilmes,Buenos Aires,1.506450348022411,26,33.26923076923077,228.0,2863.0,631774.0,16
06623,Pergamino,Buenos Aires,1.4545233558559194,24,42.333333333333336,122.0,1089.0,114988.0,17
74056,Juan Martín de Pueyrredón,San Luis,1.4109446340297944,25,35.36,185.0,1553.0,260769.0,18
30015,Concordia,Entre Ríos,1.399922858441183,29,35.48275862068966,185.0,1515.0,197603.0,19
18007,Bella Vista,Corrientes,1.3889186203465198,11,37.63636363636363,14.0,184.0,44369.0,20
22140,San Fernando,Chaco,1.3393169087638725,21,42.476190476190474,512.0,5202.0,413764.0,21
50105,San Rafael,Mendoza,1.3344163886299305,22,43.86363636363637,118.0,2035.0,213204.0,22
06861,Vicente López,Buenos Aires,1.3026154902125293,17,43.588235294117645,126.0,1181.0,280541.0,23
14091,Punilla,Córdoba,1.2679517953664858,26,40.15384615384615,172.0,1983.0,219494.0,24
82014,Caseros,Santa Fe,1.2340855319310597,12,42.833333333333336,28.0,358.0,86261.0,25
06760,San Miguel,Buenos Aires,1.1989270955958113,17,41.94117647058823,298.0,4117.0,327650.0,26
26077,Rawson,Chubut,1.1909962636458076,30,39.13333333333333,179.0,1803.0,144420.0,27
06539,Merlo,Buenos Aires,1.1837854965385801,16,32.0,67.0,664.0,581484.0,28
18021,Capital,Corrientes,1.140599500942761,27,39.666666666666664,766.0,7519.0,437446.0,29
90084,Capital,Tucumán,1.091052784943383,17,41.411764705882355,615.0,7476.0,587289.0,30
06357,General Pueyrredón,Buenos Aires,1.0773976311411932,27,40.18518518518518,1397.0,17212.0,660569.0,31
10049,Capital,Catamarca,1.0381829970806706,17,39.94117647058823,173.0,1984.0,186466.0,32
14182,Unión,Córdoba,1.0266503741297333,20,46.7,75.0,852.0,113635.0,33
06497,Luján,Buenos Aires,1.009490016288074,17,42.1764705882353,42.0,324.0,110111.0,34
58035,Confluencia,Neuquén,1.0094805078049442,28,42.892857142857146,242.0,2283.0,467217.0,35
06756,San Isidro,Buenos Aires,0.9774000918830841,22,41.59090909090909,77.0,751.0,295978.0,36
66028,Capital,Salta,0.964803722160276,25,42.12,786.0,8144.0,624003.0,37
06434,Lanús,Buenos Aires,0.9432759314820791,16,47.25,69.0,847.0,460081.0,38
06693,Roque Pérez,Buenos Aires,0.9365181656185287,5,49.0,3.0,24.0,13901.0,39
06274,Florencio Varela,Buenos Aires,0.9335267240521855,13,45.23076923076923,64.0,542.0,488103.0,40
06490,Lomas de Zamora,Buenos Aires,0.9141017717826769,22,42.04545454545455,187.0,1615.0,685644.0,41
54007,Apóstoles,Misiones,0.9089545239494636,19,44.89473684210526,18.0,219.0,50503.0,42
82021,Castellanos,Santa Fe,0.9062195669538694,23,43.08695652173913,238.0,2276.0,189464.0,43
06568,Morón,Buenos Aires,0.90485011641864,23,43.82608695652174,84.0,665.0,329517.0,44
54028,Capital,Misiones,0.9042695482175325,24,43.416666666666664,518.0,5684.0,391498.0,45
06063,Balcarce,Buenos Aires,0.8670710545351585,7,51.285714285714285,18.0,140.0,48516.0,46
06126,Campana,Buenos Aires,0.8552793550583623,21,44.666666666666664,55.0,495.0,107976.0,47
14161,Tercero Arriba,Córdoba,0.8513170349126551,19,50.578947368421055,79.0,570.0,120207.0,48
02000,CABA,Ciudad Autónoma de Buenos Aires,0.8511857005106829,28,40.357142857142854,1359.0,16965.0,3095454.0,49
14042,General San Martín,Córdoba,0.8505261933605822,19,45.68421052631579,219.0,2062.0,152397.0,50
82049,General Obligado,Santa Fe,0.8411040705692342,21,42.714285714285715,76.0,612.0,197533.0,51
06638,Pilar,Buenos Aires,0.8356716181744303,25,46.8,135.0,1410.0,393614.0,52
30008,Colón,Entre Ríos,0.8143521759324609,16,45.75,17.0,252.0,74890.0,53
06035,Avellaneda,Buenos Aires,0.7864102172070082,25,45.4,201.0,2001.0,366117.0,54
06427,La Matanza,Buenos Aires,0.7543943268160144,22,44.13636363636363,115.0,995.0,1837168.0,55
14147,Santa María,Córdoba,0.7205618616648354,17,46.94117647058823,70.0,595.0,139012.0,56
06588,9 de Julio,Buenos Aires,0.7200329441987181,7,50.857142857142854,6.0,32.0,52366.0,57
58056,Lácar,Neuquén,0.7143373587666563,11,52.18181818181818,9.0,71.0,39567.0,58
06805,Tigre,Buenos Aires,0.7040965212032566,17,45.64705882352941,113.0,1005.0,446291.0,59
06595,Olavarría,Buenos Aires,0.6888784177497715,15,45.2,42.0,416.0,122011.0,60
06413,Junín,Buenos Aires,0.6848830624922992,13,56.61538461538461,60.0,460.0,100964.0,61
34014,Formosa,Formosa,0.6063073851547917,17,43.0,335.0,5068.0,268572.0,62
06408,Hurlingham,Buenos Aires,0.6014376810617007,16,51.0625,95.0,1125.0,185361.0,63
38021,Dr. Manuel Belgrano,Jujuy,0.5958203458392622,17,50.1764705882353,448.0,6204.0,319469.0,64
54042,Eldorado,Misiones,0.5944371013689954,15,52.2,25.0,267.0,91133.0,65
14021,Colón,Córdoba,0.554672501310723,21,50.42857142857143,117.0,1506.0,294511.0,66
30056,Gualeguaychú,Entre Ríos,0.5371704662587636,19,48.578947368421055,80.0,592.0,125176.0,67
06515,Malvinas Argentinas,Buenos Aires,0.5125530762645645,13,46.53846153846154,34.0,451.0,349401.0,68
54063,Iguazú,Misiones,0.5081655503845867,18,49.72222222222222,22.0,170.0,99838.0,69
06749,San Fernando,Buenos Aires,0.5036300362291748,13,51.69230769230769,42.0,625.0,171099.0,70
06868,Villa Gesell,Buenos Aires,0.5033876292425022,9,49.22222222222222,17.0,175.0,37325.0,71
06091,Berazategui,Buenos Aires,0.5008394151205915,17,49.64705882352941,110.0,843.0,358328.0,72
26021,Escalante,Chubut,0.4842583946308447,17,56.76470588235294,68.0,512.0,214829.0,73
82070,Las Colonias,Santa Fe,0.48398413268455387,13,46.53846153846154,32.0,347.0,114730.0,74
