rank,dpto5,departamento,provincia,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,pct_nbi_2010,pct_jefe_sec_2010,pct_pc_2010,rad_2014,pob_2010,tasa_empleo_2010
1,26007,Biedma,Chubut,Metropolitan-Diversified,2.1112704546167733,14,30.214285714285715,59.0,686.0,102806.0,8.86355277675616,39.83899309386621,58.722569572146625,63.84386141371936,82883.0,76.231139
2,82063,La Capital,Santa Fe,Metropolitan-Core,2.108985958362051,38,25.57894736842105,1330.0,24818.0,568259.0,5.76081098266246,47.89836071530221,50.56530190815888,78.95734297846023,525093.0,70.882315
3,14014,Capital,Córdoba,Metropolitan-Core,2.0789941970605055,47,25.425531914893618,2411.0,50004.0,1498060.0,5.762643124588098,54.7483686874905,56.012379386679605,57.86553581384147,1329604.0,73.555129
4,62021,Bariloche,Río Negro,Metropolitan-Diversified,2.002863788721023,34,28.764705882352942,344.0,3093.0,161443.0,10.984848484848484,47.610539355822375,58.24757004002287,29.574946824045323,133500.0,77.176854
5,06441,La Plata,Buenos Aires,Metropolitan-Diversified,1.9344823708873045,37,28.37837837837838,1677.0,18483.0,756074.0,8.405290245037571,59.00150465630126,59.46736070632995,63.39263065174324,654324.0,76.688028
6,94015,Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Metropolitan-Diversified,1.9256302964825804,24,30.333333333333332,200.0,2136.0,86036.0,13.137187820732125,57.97696430607823,75.17960998973658,34.432224526030346,56956.0,82.060991
7,82084,Rosario,Santa Fe,Metropolitan-Core,1.784252080740993,43,27.11627906976744,1756.0,25257.0,1337958.0,6.561996061477633,47.8229855833777,52.905870334468695,71.24996444177607,1193605.0,73.901965
8,50007,Capital,Mendoza,Metropolitan-Core,1.776075460658003,35,31.02857142857143,836.0,16642.0,123715.0,4.440923957481602,68.08309484873263,59.400551921504494,76.35456286518911,115041.0,74.515
9,62042,General Roca,Río Negro,Metropolitan-Diversified,1.7362444926760237,26,35.34615384615385,104.0,1257.0,379627.0,9.187090804863576,33.479830639727254,48.203312783482346,55.8925342617076,320921.0,71.508029
10,06602,Patagones,Buenos Aires,Intermediate-Urban,1.6599995984568585,23,36.43478260869565,74.0,756.0,37499.0,9.555140921143082,31.69007168810763,39.860551900225865,24.082080301664266,30207.0,72.743713
