key,value
total_departments,511
departments_with_eci,224
total_repos,229270
total_languages,87
total_users,23619
r_eci_vs_devs,0.47
caba_eci,0.85
caba_rank,49
mca_dim1_raw_pct,31.8
mca_dim1_corrected_pct,87.1
mca_axes_retained,5
cah_k,6
cah_silhouette,0.33
pooled_R2,0.426
pooled_N,224
chow_F,1.517
chow_p,0.053
chow_significant,NO (p > 0.05)
metro_core_R2,0.416
metro_core_N,53
metro_core_sec_beta,0.608
metro_core_sec_p,0.061
metro_div_R2,0.342
metro_div_N,46
metro_div_pc_beta,0.433
metro_div_pc_p,0.003
pampeana_R2,0.288
pampeana_N,58
pampeana_pop_beta,0.31
pampeana_pop_p,0.048
intermed_R2,0.134
intermed_N,49
intermed_F_p,0.055
foreign_users_excluded,76
foreign_repos_excluded,661
cordoba_corrections,8
