dpto5,departamento,gh_total_repos,gh_total_developers,eci_software,geo_repos,geo_devs,repos_match,devs_match
06007,Adolfo Alsina,7.0,1.0,,7.0,1,True,True
06014,Adolfo Gonzales Chaves,9.0,4.0,,9.0,4,True,True
06287,General Alvear,0.0,0.0,,0.0,0,True,True
34042,Pilagás,0.0,0.0,,0.0,0,True,True
22043,Fray Justo Santa María de Oro,0.0,0.0,,0.0,0,True,True
22049,General Belgrano,0.0,0.0,,0.0,0,True,True
22077,Libertad,0.0,0.0,,0.0,0,True,True
06140,Capitán Sarmiento,0.0,0.0,,0.0,0,True,True
38014,El Carmen,0.0,0.0,,0.0,0,True,True
42154,Utracán,0.0,0.0,,0.0,0,True,True
22154,Sargento Cabral,0.0,0.0,,0.0,0,True,True
22161,Tapenagá,0.0,0.0,,0.0,0,True,True
10112,Valle Viejo,0.0,0.0,,0.0,0,True,True
46077,General Lamadrid,0.0,0.0,,0.0,0,True,True
06336,General Lavalle,0.0,0.0,,0.0,0,True,True
50091,San Carlos,3.0,1.0,,3.0,1,True,True
06343,General Paz,2.0,1.0,,2.0,1,True,True
58049,Huiliches,0.0,0.0,,0.0,0,True,True
50098,San Martín,0.0,0.0,,0.0,0,True,True
26049,Gastre,0.0,0.0,,0.0,0,True,True
26056,Languiñeo,0.0,0.0,,0.0,0,True,True
26070,Paso de Indios,0.0,0.0,,0.0,0,True,True
66070,Iruya,0.0,0.0,,0.0,0,True,True
66119,Molinos,0.0,0.0,,0.0,0,True,True
26098,Tehuelches,0.0,0.0,,0.0,0,True,True
06308,General Guido,0.0,0.0,,0.0,0,True,True
30042,Feliciano,0.0,0.0,,0.0,0,True,True
06329,General Las Heras,9.0,4.0,,9.0,4,True,True
30063,Islas del Ibicuy,1.0,1.0,,1.0,1,True,True
06351,General Pinto,7.0,3.0,,7.0,3,True,True
30070,La Paz,5.0,3.0,,5.0,3,True,True
10028,Antofagasta de la Sierra,0.0,0.0,,0.0,0,True,True
86175,San Martín,0.0,0.0,,0.0,0,True,True
86154,Rivadavia,0.0,0.0,,0.0,0,True,True
34007,Bermejo,0.0,0.0,,0.0,0,True,True
06875,Villarino,8.0,2.0,,8.0,2,True,True
34035,Patiño,14.0,2.0,,14.0,2,True,True
58084,Ñorquín,0.0,0.0,,0.0,0,True,True
66161,Santa Victoria,0.0,0.0,,0.0,0,True,True
34063,Ramón Lista,0.0,0.0,,0.0,0,True,True
38007,Cochinoca,0.0,0.0,,0.0,0,True,True
38028,Humahuaca,0.0,1.0,,0.0,1,True,True
06448,Laprida,4.0,2.0,,4.0,2,True,True
38077,Santa Catalina,0.0,0.0,,0.0,0,True,True
38084,Susques,0.0,0.0,,0.0,0,True,True
38098,Tumbaya,0.0,0.0,,0.0,0,True,True
38105,Valle Grande,0.0,0.0,,0.0,0,True,True
06679,Rivadavia,9.0,4.0,,9.0,4,True,True
42028,Catriló,0.0,0.0,,0.0,0,True,True
42035,Conhelo,0.0,0.0,,0.0,0,True,True
42042,Curacó,0.0,0.0,,0.0,0,True,True
42049,Chalileo,0.0,0.0,,0.0,0,True,True
42056,Chapaleufú,0.0,0.0,,0.0,0,True,True
42084,Lihuel Calel,0.0,0.0,,0.0,0,True,True
42091,Limay Mahuida,0.0,0.0,,0.0,0,True,True
42098,Loventué,0.0,0.0,,0.0,0,True,True
42105,Maracó,0.0,1.0,,0.0,1,True,True
