dpto5,Departamento,Provincia,ECI_individual,Rank_individual,ECI_bundle,Rank_bundle,Rank_change
26007,Biedma,Chubut,2.1113,1,2.3309,1,0
82063,La Capital,Santa Fe,2.1090,2,1.8118,6,-4
14014,Capital,Córdoba,2.0790,3,1.8571,4,-1
62021,Bariloche,Río Negro,2.0029,4,1.9252,2,2
06441,La Plata,Buenos Aires,1.9345,5,1.6722,8,-3
94015,Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1.9256,6,1.5037,10,-4
82084,Rosario,Santa Fe,1.7843,7,1.8439,5,2
50007,Capital,Mendoza,1.7761,8,1.4594,14,-6
62042,General Roca,Río Negro,1.7362,9,1.6726,7,2
06602,Patagones,Buenos Aires,1.6600,10,1.3808,17,-7
30084,Paraná,Entre Ríos,1.6480,11,1.9033,3,8
30098,Uruguay,Entre Ríos,1.6350,12,1.4069,16,-4
06791,Tandil,Buenos Aires,1.6335,13,1.5323,9,4
06056,Bahía Blanca,Buenos Aires,1.5229,14,1.4610,13,1
14098,Río Cuarto,Córdoba,1.5113,15,1.3288,19,-4
06658,Quilmes,Buenos Aires,1.5065,16,0.7384,54,-38
06623,Pergamino,Buenos Aires,1.4545,17,1.3377,18,-1
74056,Juan Martín de Pueyrredón,San Luis,1.4109,18,1.4668,12,6
30015,Concordia,Entre Ríos,1.3999,19,1.1644,27,-8
18007,Bella Vista,Corrientes,1.3889,20,1.0516,35,-15
22140,San Fernando,Chaco,1.3393,21,1.3204,20,1
50105,San Rafael,Mendoza,1.3344,22,0.7302,58,-36
06861,Vicente López,Buenos Aires,1.3026,23,1.4862,11,12
14091,Punilla,Córdoba,1.2680,24,1.1941,26,-2
82014,Caseros,Santa Fe,1.2341,25,1.1139,32,-7
06760,San Miguel,Buenos Aires,1.1989,26,0.7341,55,-29
26077,Rawson,Chubut,1.1910,27,1.2747,23,4
06539,Merlo,Buenos Aires,1.1838,28,0.8070,48,-20
18021,Capital,Corrientes,1.1406,29,0.9863,40,-11
90084,Capital,Tucumán,1.0911,30,0.5534,72,-42
06357,General Pueyrredón,Buenos Aires,1.0774,31,1.0389,36,-5
10049,Capital,Catamarca,1.0382,32,0.7327,57,-25
14182,Unión,Córdoba,1.0267,33,0.9447,43,-10
06497,Luján,Buenos Aires,1.0095,34,1.1440,30,4
58035,Confluencia,Neuquén,1.0095,35,0.9771,41,-6
06756,San Isidro,Buenos Aires,0.9774,36,0.7247,61,-25
66028,Capital,Salta,0.9648,37,0.9758,42,-5
06434,Lanús,Buenos Aires,0.9433,38,1.2786,22,16
06693,Roque Pérez,Buenos Aires,0.9365,39,-0.6334,160,-121
06274,Florencio Varela,Buenos Aires,0.9335,40,1.1494,29,11
06490,Lomas de Zamora,Buenos Aires,0.9141,41,1.0895,33,8
54007,Apóstoles,Misiones,0.9090,42,1.0277,37,5
82021,Castellanos,Santa Fe,0.9062,43,1.4145,15,28
06568,Morón,Buenos Aires,0.9049,44,1.1542,28,16
54028,Capital,Misiones,0.9043,45,0.5963,65,-20
