dpto5,departamento,provincia,region,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,gh_devs_per_10k,pob_2010,pob_2022,pct_jefe_sec_2010,pct_pc_2010,pct_nbi_2010,rad_2014
26007,Biedma,Chubut,Patagonia,Metropolitan-Diversified,2.1112704546167733,14,30.214285714285715,59.0,686.0,5.738964651868568,82883.0,102806.0,39.83899309386621,58.722569572146625,8.86355277675616,63.84386141371936
82063,La Capital,Santa Fe,Pampeana,Metropolitan-Core,2.108985958362051,38,25.57894736842105,1330.0,24818.0,23.404820689157585,525093.0,568259.0,47.89836071530221,50.56530190815888,5.76081098266246,78.95734297846023
14014,Capital,Córdoba,Pampeana,Metropolitan-Core,2.0789941970605055,47,25.425531914893618,2411.0,50004.0,16.094148431972016,1329604.0,1498060.0,54.7483686874905,56.012379386679605,5.762643124588098,57.86553581384147
62021,Bariloche,Río Negro,Patagonia,Metropolitan-Diversified,2.002863788721023,34,28.764705882352942,344.0,3093.0,21.30783000811432,133500.0,161443.0,47.610539355822375,58.24757004002287,10.984848484848484,29.574946824045323
06441,La Plata,Buenos Aires,Pampeana,Metropolitan-Diversified,1.9344823708873045,37,28.37837837837838,1677.0,18483.0,22.180368588259878,654324.0,756074.0,59.00150465630126,59.46736070632995,8.405290245037571,63.39263065174324
94015,Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,Metropolitan-Diversified,1.9256302964825804,24,30.333333333333332,200.0,2136.0,23.246083035008603,56956.0,86036.0,57.97696430607823,75.17960998973658,13.137187820732125,34.432224526030346
82084,Rosario,Santa Fe,Pampeana,Metropolitan-Core,1.784252080740993,43,27.11627906976744,1756.0,25257.0,13.124477748927843,1193605.0,1337958.0,47.8229855833777,52.905870334468695,6.561996061477633,71.24996444177607
50007,Capital,Mendoza,Cuyo,Metropolitan-Core,1.776075460658003,35,31.02857142857143,836.0,16642.0,67.57466758275068,115041.0,123715.0,68.08309484873263,59.400551921504494,4.440923957481602,76.35456286518911
62042,General Roca,Río Negro,Patagonia,Metropolitan-Diversified,1.7362444926760237,26,35.34615384615385,104.0,1257.0,2.7395311713866506,320921.0,379627.0,33.479830639727254,48.203312783482346,9.187090804863576,55.8925342617076
06602,Patagones,Buenos Aires,Pampeana,Intermediate-Urban,1.6599995984568585,23,36.43478260869565,74.0,756.0,19.73385956958852,30207.0,37499.0,31.69007168810763,39.860551900225865,9.555140921143082,24.082080301664266
30084,Paraná,Entre Ríos,Pampeana,Metropolitan-Core,1.6479622639974592,26,32.84615384615385,338.0,3746.0,8.695294250815506,339930.0,388716.0,45.667904408264306,52.65067123678949,5.122345996381986,48.3603930499174
30098,Uruguay,Entre Ríos,Pampeana,Metropolitan-Core,1.6350387238972675,22,33.72727272727273,135.0,1519.0,11.686692752519132,100728.0,115516.0,36.272372824118136,49.316918920578395,5.8606821600712244,26.452458949588465
06791,Tandil,Buenos Aires,Pampeana,Metropolitan-Core,1.6334568394744358,30,33.13333333333333,861.0,8566.0,59.51146684361133,123871.0,144678.0,45.58683814158267,54.220831885065465,3.723786351523578,33.71014790065493
06056,Bahía Blanca,Buenos Aires,Pampeana,Metropolitan-Core,1.5229483825568555,26,31.307692307692307,355.0,3273.0,10.612696372251536,301572.0,334505.0,49.46555030282318,57.038028516641035,3.729756412447077,36.95434373320759
14098,Río Cuarto,Córdoba,Pampeana,Metropolitan-Core,1.5112811745994637,31,33.74193548387097,395.0,3608.0,14.209706488619643,246393.0,277979.0,36.99028165879473,49.187665372536415,4.530280175078513,32.584896961023595
06658,Quilmes,Buenos Aires,Pampeana,Metropolitan-Diversified,1.506450348022411,26,33.26923076923077,228.0,2863.0,3.608885455875044,582943.0,631774.0,38.21523347072441,48.141268138445035,9.20896617921066,113.22431288146836
06623,Pergamino,Buenos Aires,Pampeana,Metropolitan-Core,1.4545233558559194,24,42.333333333333336,122.0,1089.0,10.609802762027343,104590.0,114988.0,35.33709157846295,47.417165209387946,4.328693051081454,31.779797357505643
74056,Juan Martín de Pueyrredón,San Luis,Cuyo,Metropolitan-Diversified,1.4109446340297944,25,35.36,185.0,1553.0,7.094401558467456,204019.0,260769.0,46.332758414590415,61.91874861251046,6.837548455403952,42.037323816517095
30015,Concordia,Entre Ríos,Pampeana,Metropolitan-Diversified,1.399922858441183,29,35.48275862068966,185.0,1515.0,9.362206039381993,170033.0,197603.0,32.935267391938645,43.109916218581965,14.822225001042057,50.12122769556256
18007,Bella Vista,Corrientes,NEA,Peripheral-Deprived,1.3889186203465198,11,37.63636363636363,14.0,184.0,3.1553562171786607,37181.0,44369.0,23.933625165428076,23.760561946452203,16.105059554107708,15.617670916645617
22140,San Fernando,Chaco,NEA,Metropolitan-Diversified,1.3393169087638725,21,42.476190476190474,512.0,5202.0,12.374203652323546,390874.0,413764.0,39.77582138319114,42.56126338718461,11.353240152477763,54.56079613335116
50105,San Rafael,Mendoza,Cuyo,Metropolitan-Diversified,1.3344163886299305,22,43.86363636363637,118.0,2035.0,5.534605354496163,188018.0,213204.0,31.517440726357044,39.648170807398344,7.923250164033267,26.220829579009102
06861,Vicente López,Buenos Aires,Pampeana,Metropolitan-Core,1.3026154902125293,17,43.588235294117645,126.0,1181.0,4.491322124038911,269420.0,280541.0,69.49217412323993,70.91734987812984,2.4313599097556553,92.62596878488297
14091,Punilla,Córdoba,Pampeana,Pampeana-Educated,1.2679517953664858,26,40.15384615384615,172.0,1983.0,7.836205089888562,178401.0,219494.0,46.53502977213907,46.56579733227155,5.664850777333357,22.31170543273127
82014,Caseros,Santa Fe,Pampeana,Metropolitan-Core,1.2340855319310597,12,42.833333333333336,28.0,358.0,3.245962833725554,82100.0,86261.0,35.236664162283994,44.96082429966727,3.538334943293621,33.852409421165454
06760,San Miguel,Buenos Aires,Pampeana,Metropolitan-Diversified,1.1989270955958113,17,41.94117647058823,298.0,4117.0,9.09507095986571,276190.0,327650.0,39.227554045170976,49.79225321542411,8.175921217458171,56.720079417062315
26077,Rawson,Chubut,Patagonia,Metropolitan-Core,1.1909962636458076,30,39.13333333333333,179.0,1803.0,12.394405207035037,131313.0,144420.0,39.86694830893243,56.58824386335494,6.242260907567922,61.49459596132431
06539,Merlo,Buenos Aires,Pampeana,Intermediate-Urban,1.1837854965385801,16,32.0,67.0,664.0,1.1522243088373885,528494.0,581484.0,27.148040835116035,38.79336023179615,11.487584283354545,68.17493076404791
18021,Capital,Corrientes,NEA,Metropolitan-Diversified,1.140599500942761,27,39.666666666666664,766.0,7519.0,17.510732753299838,358223.0,437446.0,49.74895095522357,44.50527357644366,11.789510583237966,78.89288880211153
90084,Capital,Tucumán,NOA,Metropolitan-Diversified,1.091052784943383,17,41.411764705882355,615.0,7476.0,10.47184605875472,548866.0,587289.0,48.22514838041849,44.5342904962594,9.646911738016978,56.044347361281574
06357,General Pueyrredón,Buenos Aires,Pampeana,Metropolitan-Core,1.0773976311411932,27,40.18518518518518,1397.0,17212.0,21.148434152980233,618989.0,660569.0,45.997502311791564,52.39473006854343,4.6688656491606055,59.96251983811281
10049,Capital,Catamarca,NOA,Metropolitan-Diversified,1.0381829970806706,17,39.94117647058823,173.0,1984.0,9.277830810978946,159703.0,186466.0,51.30956062516355,47.610438423293765,8.623355615291292,60.86246571909506
14182,Unión,Córdoba,Pampeana,Metropolitan-Core,1.0266503741297333,20,46.7,75.0,852.0,6.600079200950411,105727.0,113635.0,32.637226340534774,45.70942340419395,4.707375465112925,24.281449720886766
06497,Luján,Buenos Aires,Pampeana,Metropolitan-Core,1.009490016288074,17,42.1764705882353,42.0,324.0,3.8143328096193843,106273.0,110111.0,38.80211536096421,49.62181773459599,6.078588119542491,27.663178847286115
58035,Confluencia,Neuquén,Patagonia,Metropolitan-Diversified,1.0094805078049442,28,42.892857142857146,242.0,2283.0,5.179606050293547,362673.0,467217.0,43.612555329164614,56.59910068151479,8.967715871566078,73.86160526137145
06756,San Isidro,Buenos Aires,Pampeana,Metropolitan-Core,0.9774000918830841,22,41.59090909090909,77.0,751.0,2.6015447094040773,292878.0,295978.0,63.15719091068067,69.22633804120848,3.656918313394299,80.23542781895654
66028,Capital,Salta,NOA,Metropolitan-Diversified,0.964803722160276,25,42.12,786.0,8144.0,12.596093288013039,536113.0,624003.0,48.83649635036496,44.66131386861314,12.758394160583942,60.53966728926631
