cluster_label,region,n
Intermediate-Urban,Cuyo,16
Intermediate-Urban,NEA,14
Intermediate-Urban,NOA,19
Intermediate-Urban,Pampeana,32
Intermediate-Urban,Patagonia,5
Metropolitan-Core,CABA,1
Metropolitan-Core,Cuyo,3
Metropolitan-Core,Pampeana,50
Metropolitan-Core,Patagonia,7
Metropolitan-Diversified,Cuyo,8
Metropolitan-Diversified,NEA,4
Metropolitan-Diversified,NOA,9
Metropolitan-Diversified,Pampeana,26
Metropolitan-Diversified,Patagonia,17
Pampeana-Educated,Cuyo,1
Pampeana-Educated,NOA,1
Pampeana-Educated,Pampeana,92
Pampeana-Educated,Patagonia,5
Peripheral-Deprived,Cuyo,12
Peripheral-Deprived,NEA,52
Peripheral-Deprived,NOA,69
Peripheral-Deprived,Pampeana,12
Peripheral-Deprived,Patagonia,4
Semi-Rural-Active,Cuyo,6
Semi-Rural-Active,NEA,6
Semi-Rural-Active,NOA,19
Semi-Rural-Active,Pampeana,6
Semi-Rural-Active,Patagonia,15
